Geography,Year,Strata,Strata Name,Percent,Lower 95% CL,Upper 95% CL,Standard Error
California,2018,Total population,Total population,10.4,8.9,11.9,0.8
California,2018,Race-Ethnicity,White,8.4,6.9,9.9,0.8
California,2018,Race-Ethnicity,African-American,12.3,6.0,18.6,3.2
California,2018,Race-Ethnicity,Asian,8.5,3.2,13.9,2.7
California,2018,Race-Ethnicity,Hispanic,12.1,9.0,15.1,1.6
California,2018,Age,18 to 34 years,4.0,0.8,7.2,1.6
California,2018,Age,35 to 44 years,5.1,1.9,8.3,1.6
California,2018,Age,45 to 54 years,11.6,8.2,15.0,1.7
California,2018,Age,55 to 64 years,17.7,14.2,21.2,1.8
California,2018,Age,65 years and above,22.4,19.5,25.3,1.5
California,2018,Education,Less than high school,19.7,15.2,24.1,2.3
California,2018,Education,High school graduate,7.8,4.8,10.9,1.6
California,2018,Education,Some college,12.3,8.4,16.2,2.0
California,2018,Education,College graduate,8.7,6.5,10.8,1.1
California,2018,Income,"Less than $15,000",18.8,13.0,24.5,2.9
California,2018,Income,"$15,000 to $24,999",12.2,9.0,15.3,1.6
California,2018,Income,"$25,000 to $34,999",14.6,5.6,23.5,4.5
California,2018,Income,"$35,000 to $49,999",6.2,3.8,8.7,1.3
California,2018,Income,"$50,000 and above",9.4,7.1,11.7,1.2
California,2018,Sex,Male,10.5,8.7,12.4,0.9
California,2018,Sex,Female,10.3,7.9,12.7,1.2
California,2017,Total population,Total population,8.2,7.3,9.1,0.5
California,2017,Race-Ethnicity,White,7.6,6.4,8.8,0.6
California,2017,Race-Ethnicity,African-American,12.1,6.3,17.9,3
California,2017,Race-Ethnicity,Asian,4.4,2.4,6.3,1
California,2017,Race-Ethnicity,Hispanic,9.7,7.8,11.6,1
California,2017,Age,18 to 34 years,1.2,0.6,1.9,0.3
California,2017,Age,35 to 44 years,3.7,1.9,5.5,0.9
California,2017,Age,45 to 54 years,8.4,5.9,10.8,1.3
California,2017,Age,55 to 64 years,15.9,12.6,19.2,1.7
California,2017,Age,65 years and above,21.3,18.4,24.2,1.5
California,2017,Education,Less than high school,15.3,11.6,19,1.9
California,2017,Education,High school graduate,8.9,6.6,11.2,1.2
California,2017,Education,Some college,8.8,6.8,10.7,1
California,2017,Education,College graduate,5.5,4.4,6.6,0.6
California,2017,Income,"Less than $15,000",13.1,9.6,16.5,1.8
California,2017,Income,"$15,000 to $24,999",12.3,8.7,15.8,1.8
California,2017,Income,"$25,000 to $34,999",11,7.3,14.7,1.9
California,2017,Income,"$35,000 to $49,999",7.7,4.6,10.8,1.6
California,2017,Income,"$50,000 and above",5.1,4.1,6.2,0.5
California,2017,Sex,Male,8.7,7.2,10.1,0.7
California,2017,Sex,Female,7.7,6.5,8.9,0.6
California,2016,Total population,Total population,10.2,9.6,10.8,0.4
California,2016,Race-Ethnicity,White,9,8.3,9.7,0.2
California,2016,Race-Ethnicity,African-American,10.7,8.7,12.4,0.1
California,2016,Race-Ethnicity,Asian,11.8,9.4,13.9,0.2
California,2016,Race-Ethnicity,Hispanic,10.3,9.3,11.2,0.2
California,2016,Age,18 to 34 years,1.5,1,2,0.1
California,2016,Age,35 to 44 years,4.3,3.4,5.2,0.1
California,2016,Age,45 to 54 years,10.9,9.6,12.1,0.2
California,2016,Age,55 to 64 years,17.3,15.6,18.8,0.2
California,2016,Age,65 years and above,24.2,22.5,25.9,0.3
California,2016,Education,Less than high school,16.3,14.8,17.6,0.2
California,2016,Education,High school graduate,9.1,7.9,10.1,0.2
California,2016,Education,Some college,10.2,9.1,11.3,0.3
California,2016,Education,College graduate,7.1,6.3,7.9,0.1
California,2016,Income,"Less than $15,000",15.6,13.9,17.2,0.2
California,2016,Income,"$15,000 to $24,999",14.1,12.1,15.8,0.2
California,2016,Income,"$25,000 to $34,999",11.8,8.9,14.2,0.2
California,2016,Income,"$35,000 to $49,999",9.6,8.2,10.8,0.1
California,2016,Income,"$50,000 and above",7.7,6.8,8.5,0.3
California,2016,Sex,Male,10.5,9.6,11.2,0.3
California,2016,Sex,Female,9.9,9,10.7,0.3
California,2015,Total population,Total population,9,8.2,9.8,0.4
California,2015,Race-Ethnicity,White,7.4,6.4,8.3,0.5
California,2015,Race-Ethnicity,African-American,13,9.2,16.7,1.9
California,2015,Race-Ethnicity,Asian,9.7,6.8,12.7,1.5
California,2015,Race-Ethnicity,Hispanic,10.5,8.9,12,0.8
California,2015,Age,18 to 34 years,1.6,0.7,2.4,0.4
California,2015,Age,35 to 44 years,5.5,3.7,7.2,0.9
California,2015,Age,45 to 54 years,10,7.9,12.2,1.1
California,2015,Age,55 to 64 years,17.3,14.7,19.9,1.3
California,2015,Age,65 years and above,20.5,18.3,22.7,1.1
California,2015,Education,Less than high school,15.7,12.8,18.6,1.5
California,2015,Education,High school graduate,8.6,7.1,10.6,0.9
California,2015,Education,Some college,7.7,6.4,8.9,0.6
California,2015,Education,College graduate,8.3,6.9,9.6,0.7
California,2015,Income,"Less than $15,000",14.8,11.9,17.7,1.5
California,2015,Income,"$15,000 to $24,999",10.5,8,13,1.3
California,2015,Income,"$25,000 to $34,999",9.6,7,12.2,1.3
California,2015,Income,"$35,000 to $49,999",8.6,6.1,11.1,1.3
California,2015,Income,"$50,000 and above",7.7,6.5,9,0.6
California,2015,Sex,Male,9.4,8.2,10.5,0.6
California,2015,Sex,Female,8.7,7.6,9.8,0.6
California,2014,Total population,Total population,9.4,8.5,10.2,0.4
California,2014,Race-Ethnicity,White,7.6,6.7,8.5,0.5
